sampleNum,Bus.lax,Bus.lay,Bus.laz,Bus.rx,Bus.ry,Bus.rz,Node01.lax,Node01.lay,Node01.laz,Node01.rx,Node01.ry,Node01.rz,Node02.lax,Node02.lay,Node02.laz,Node02.rx,Node02.ry,Node02.rz,Node03.lax,Node03.lay,Node03.laz,Node03.rx,Node03.ry,Node03.rz,Node04.lax,Node04.lay,Node04.laz,Node04.rx,Node04.ry,Node04.rz,Node05.lax,Node05.lay,Node05.laz,Node05.rx,Node05.ry,Node05.rz
2720,0.0,0.0,0.0,0.0,0.0,0.0,-0.09243733,-0.14927587,-0.11614557,2.26875687,0.51602864,1.58279955,9.207e-05,-0.00021006,-0.00045763,-2.91626835,-0.34700167,-3.03885055,-0.12320089,0.08529181,-0.2493034,-1.91658211,0.20437314,1.68227124,5.589e-05,-0.00059002,7.925e-05,2.81950521,-0.49082017,-2.96572351,-0.00026579,-0.0003938,0.00057145,1.1646812,-1.36551142,2.1059773
2721,0.0,0.0,0.0,0.0,0.0,0.0,-0.09492251,-0.13495527,-0.11784332,2.26951861,0.51081717,1.58452797,-0.00055901,-0.00023323,-2.631e-05,-2.91626883,-0.34699911,-3.03883624,-0.12006021,0.09566376,-0.26463699,-1.92217577,0.22834009,1.67926884,-0.00032752,0.0003265,-0.00032846,2.81950116,-0.49081349,-2.96572447,-0.00027572,-9.2e-05,0.00013274,1.16470015,-1.36552215,2.10596442
2722,0.0,0.0,0.0,0.0,0.0,0.0,-0.09890088,-0.10504365,-0.09825698,2.27018452,0.50456744,1.58473659,4e-07,0.00057011,-0.00041938,-2.91628981,-0.34700799,-3.03882432,-0.14151227,0.11705615,-0.28346935,-1.92791283,0.2518155,1.67607164,-0.00027449,-0.00015876,-3.83e-05,2.81950879,-0.49080482,-2.96575189,-0.00058882,0.00053534,0.00056664,1.16480637,-1.36552656,2.10586262
2723,0.0,0.0,0.0,0.0,0.0,0.0,-0.10346986,-0.06012123,-0.04991685,2.27542686,0.49552006,1.58509767,7.707e-05,-8.306e-05,0.00016503,-2.9162972,-0.34700426,-3.03882074,-0.16039851,0.14358978,-0.31395,-1.93348944,0.274297,1.67264998,-0.00041556,-0.00018558,5.573e-05,2.81950235,-0.49081847,-2.9657712,-0.00038656,0.00037448,0.00062323,1.16478801,-1.36553347,2.10588765
2724,0.0,0.0,0.0,0.0,0.0,0.0,-0.10810953,-0.0051075,0.01689142,2.28033161,0.4858776,1.58389926,-9.788e-05,0.00018512,-0.00025387,-2.91631269,-0.34703147,-3.03882504,-0.16645056,0.14380461,-0.34038025,-1.93891883,0.29519802,1.66933417,0.00017159,4.404e-05,2.76e-06,2.81949735,-0.49081317,-2.96577191,0.00037262,0.00029081,0.00071167,1.16484773,-1.36553371,2.10583353
2725,0.0,0.0,0.0,0.0,0.0,0.0,-0.10998565,0.04631109,0.08973597,2.28538346,0.47598112,1.58157277,-0.00047081,0.0002021,-0.00073322,-2.91634011,-0.34704998,-3.03882647,-0.16476022,0.15280595,-0.35852373,-1.94431245,0.31458059,1.66613173,-0.00018861,0.00028661,-0.00017175,2.81950164,-0.49081823,-2.9657681,0.00041697,7.249e-05,0.00056713,1.16482449,-1.36554193,2.10585308
2726,0.0,0.0,0.0,0.0,0.0,0.0,-0.10979135,0.08548131,0.15904066,2.29115677,0.46572912,1.57953954,-0.00010544,0.00023836,-0.00083392,-2.91636515,-0.34704369,-3.03883433,-0.15650882,0.16020231,-0.38429374,-1.94935369,0.33224094,1.66311598,0.00033775,-4.612e-05,0.00031354,2.81950045,-0.49081966,-2.96575356,0.0004492,3.964e-05,0.00038616,1.16479599,-1.36554778,2.10586739
2727,0.0,0.0,0.0,0.0,0.0,0.0,-0.10742228,0.11068673,0.21681252,2.29445219,0.45704326,1.57679391,-7.405e-05,0.00018414,-0.00020112,-2.91636252,-0.34704167,-3.03882957,-0.14860055,0.15616718,-0.40796161,-1.9541707,0.34789082,1.66040099,-0.00016693,-1.598e-05,0.00017707,2.8195014,-0.49081719,-2.96576548,3.468e-05,0.0003568,0.00028361,1.1647507,-1.36554253,2.10590982
2728,0.0,0.0,0.0,0.0,0.0,0.0,-0.10461184,0.12221673,0.25682527,2.29751658,0.44980794,1.57454646,-4.749e-05,-0.00051594,0.00019154,-2.91635466,-0.34704575,-3.03883982,-0.13334259,0.13755758,-0.42971009,-1.95868015,0.36121422,1.65825284,0.00044209,0.00046715,0.00062889,2.81950212,-0.49081525,-2.96577764,0.00021673,0.00026515,0.00070459,1.16474199,-1.36553872,2.10590386
2729,0.0,0.0,0.0,0.0,0.0,0.0,-0.09857716,0.11986255,0.26896334,2.29790449,0.44561717,1.57193291,-0.00018687,8.732e-05,-0.00056468,-2.91635132,-0.34705263,-3.03883815,-0.12604593,0.1064761,-0.43635905,-1.96284032,0.37216672,1.65680265,0.00015842,0.00015964,-0.00041711,2.81951332,-0.49081448,-2.96578932,0.00026399,-0.0002891,0.0008056,1.16469932,-1.36553121,2.1059649
2730,0.0,0.0,0.0,0.0,0.0,0.0,-0.09179672,0.10775482,0.248593,2.29822564,0.4436824,1.56998456,-0.00056179,-0.00018118,-0.0005767,-2.91634727,-0.34705919,-3.03883719,-0.12443198,0.07729089,-0.44102609,-1.96663678,0.38072774,1.6561054,8.914e-05,8.633e-05,-0.00016511,2.81950855,-0.49080908,-2.96579027,8.96e-06,0.00020332,0.00050097,1.16460812,-1.3655287,2.10607576
2731,0.0,0.0,0.0,0.0,0.0,0.0,-0.08407752,0.09444965,0.20891038,2.29650617,0.44463053,1.56759727,-0.00028383,-6.539e-05,-0.00029516,-2.91633677,-0.34706753,-3.0388248,-0.12761554,0.05532152,-0.44639245,-1.97013712,0.38711855,1.65593326,-0.0001351,-0.00020026,0.00011678,2.81950808,-0.49081627,-2.96579838,-0.00056074,0.00016034,0.00062895,1.1645962,-1.36551392,2.1060822
2732,0.0,0.0,0.0,0.0,0.0,0.0,-0.07468257,0.08852135,0.16663328,2.2968514,0.44633338,1.56584918,5.291e-05,-0.00054639,-6.671e-05,-2.91633081,-0.34705099,-3.0388298,-0.14069785,0.04139571,-0.4531185,-1.97334743,0.39142889,1.65610111,-0.00012126,-0.00050253,0.00047642,2.81949449,-0.49082765,-2.96578026,-8.104e-05,-0.00067486,0.00102827,1.16461372,-1.36552393,2.10604954
2733,0.0,0.0,0.0,0.0,0.0,0.0,-0.06427389,0.08898097,0.13074547,2.29642868,0.44912195,1.56365693,-0.0002937,-6.469e-05,-0.00028696,-2.91634417,-0.34704435,-3.03881216,-0.15658908,0.02792276,-0.45359737,-1.97584045,0.39368546,1.65644383,-0.00037444,-0.00048585,0.00039792,2.8195045,-0.49083623,-2.96578884,-0.00030928,-2.859e-05,0.00049264,1.16464996,-1.3655256,2.10600781
2734,0.0,0.0,0.0,0.0,0.0,0.0,-0.05404023,0.09046526,0.11528555,2.2975173,0.45108652,1.56212711,-8.168e-05,0.00041655,-7.555e-05,-2.91634512,-0.34704295,-3.03879762,-0.16117561,0.01021797,-0.45314783,-1.97742915,0.39377517,1.65689754,-0.00055582,-0.0003967,8.789e-05,2.81949973,-0.4908309,-2.96578979,-2.834e-05,-0.00073886,0.00065395,1.16467822,-1.36553562,2.10597491
